date,open,high,low,close
2024-10-01,2635.41,2673.2,2631.98,2662.82
2024-09-30,2658.3,2666.11,2624.78,2634.49
2024-09-27,2669.5,2674.4,2643.15,2657.97
2024-09-26,2657.32,2685.96,2654.56,2670.2
2024-09-25,2655.9,2670.6,2649.84,2656.82
2024-09-24,2628.92,2664.47,2622.58,2656.7
2024-09-23,2621.81,2635.54,2613.6,2628.4
2024-09-20,2587.5,2625.79,2584.81,2621.96
2024-09-19,2559.07,2594.89,2551.26,2586.48
2024-09-18,2571.73,2600.21,2546.98,2559.16
2024-09-17,2582.46,2587.01,2560.84,2569.52
2024-09-16,2578.06,2589.78,2575.4,2582.58
2024-09-13,2556.52,2586.18,2556.52,2576.5
2024-09-12,2512.02,2560.21,2511.02,2558.75
2024-09-11,2515.7,2529.4,2501.01,2511.44
2024-09-10,2506.84,2518.57,2500.16,2516.12
2024-09-09,2497.32,2507.42,2485.6,2505.25
2024-09-06,2516.9,2529.3,2485.15,2497.03
2024-09-05,2495.5,2523.54,2493.76,2516.32
2024-09-04,2492.94,2500.2,2471.95,2494.84
2024-09-03,2500.5,2506.44,2473.25,2492.76
2024-09-02,2502.74,2507.5,2490.14,2499.29
2024-08-30,2520.89,2527.07,2494.36,2503.03
2024-08-29,2504.65,2528.77,2503.65,2521.18
2024-08-28,2522.74,2529.15,2493.66,2502.25
2024-08-27,2518.3,2526.27,2503.41,2524.57
2024-08-26,2511.43,2527.76,2508.71,2516.89
2024-08-23,2482.2,2518.45,2481.2,2512.07
2024-08-22,2512.5,2514.82,2470.86,2483.29
2024-08-21,2512.82,2520.09,2494.15,2511.95
2024-08-20,2501.55,2532.05,2497.33,2513.74
2024-08-19,2508.4,2510.45,2485.83,2503.92
2024-08-16,2456.57,2509.89,2450.76,2507.28
2024-08-15,2448.15,2470.25,2432.19,2456.1
2024-08-14,2467.4,2478.49,2438.12,2447.64
2024-08-13,2472.64,2477.02,2458.5,2465.03
2024-08-12,2431.21,2473.48,2423.84,2472.25
2024-08-09,2427.29,2437.15,2416.93,2430.93
2024-08-08,2382.43,2427.8,2380.7,2426.75
2024-08-07,2389.67,2407.05,2379.05,2381.53
2024-08-06,2410.01,2418.35,2381.79,2389.37
2024-08-05,2443.27,2458.8,2364.4,2407.65
2024-08-02,2445.16,2477.72,2410.83,2443.29
2024-08-01,2448.1,2462.4,2430.25,2445.42
2024-07-31,2410.09,2451.0,2403.86,2448.1
2024-07-30,2383.66,2413.0,2376.51,2408.43
2024-07-29,2387.2,2403.23,2369.77,2383.54
2024-07-26,2364.3,2390.82,2355.89,2385.57
2024-07-25,2398.49,2401.32,2353.19,2364.5
2024-07-24,2408.94,2432.05,2396.5,2397.59
2024-07-23,2396.8,2412.15,2388.26,2409.21
2024-07-22,2400.41,2412.32,2384.0,2397.65
2024-07-19,2445.34,2446.29,2393.92,2400.79
2024-07-18,2460.13,2475.02,2440.41,2444.97
2024-07-17,2476.22,2483.78,2451.6,2458.38
2024-07-16,2424.8,2469.91,2423.54,2468.57
2024-07-15,2409.5,2439.74,2401.35,2422.07
2024-07-12,2416.47,2418.37,2391.52,2411.27
2024-07-11,2371.58,2424.62,2370.83,2414.78
2024-07-10,2363.8,2386.75,2362.73,2371.07
2024-07-09,2358.6,2371.52,2349.59,2363.58
2024-07-08,2391.77,2391.85,2351.16,2358.8
2024-07-05,2358.01,2393.04,2354.03,2391.46
2024-07-04,2353.7,2362.64,2350.76,2356.12
2024-07-03,2328.0,2365.06,2326.93,2356.06
2024-07-02,2332.05,2336.9,2319.24,2329.28
2024-07-01,2326.46,2338.72,2318.55,2331.7
2024-06-28,2327.75,2339.79,2319.15,2325.71
2024-06-27,2299.8,2331.0,2296.5,2327.45
2024-06-26,2320.0,2323.95,2293.7,2297.91
2024-06-25,2333.25,2337.26,2315.56,2319.01
2024-06-24,2321.6,2335.02,2317.37,2332.93
